"filename", "language", "JSON", "JavaScript", "Properties", "XML", "Markdown", "Less", "JavaScript React", "HTML", "comment", "blank", "total"
"/Users/ldl/Desktop/lunwen/code/front/src/services/user.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 0, 0, 5, 36
"/Users/ldl/Desktop/lunwen/code/front/src/utils/Authorized.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 6, 5, 20
"/Users/ldl/Desktop/lunwen/code/front/src/utils/authority.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 0, 1, 8, 34
"/Users/ldl/Desktop/lunwen/code/front/src/utils/request.js", "JavaScript", 0, 66, 0, 0, 0, 0, 0, 0, 14, 10, 90
"/Users/ldl/Desktop/lunwen/code/front/src/utils/utils.js", "JavaScript", 0, 44, 0, 0, 0, 0, 0, 0, 7, 9, 60
"/Users/ldl/Desktop/lunwen/code/front/src/utils/utils.less", "Less", 0, 0, 0, 0, 0, 14, 0, 0, 2, 1, 17
"/Users/ldl/Desktop/lunwen/code/front/src/utils/utils.test.js", "JavaScript", 0, 115, 0, 0, 0, 0, 0, 0, 0, 2, 117
"/Users/ldl/Desktop/lunwen/code/front/tests/PuppeteerEnvironment.js", "JavaScript", 0, 30, 0, 0, 0, 0, 0, 0, 4, 8, 42
"/Users/ldl/Desktop/lunwen/code/front/tests/beforeTest.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 0, 6, 5, 40
"/Users/ldl/Desktop/lunwen/code/front/tests/getBrowser.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 0, 5, 4, 46
"/Users/ldl/Desktop/lunwen/code/front/tests/run-tests.js", "JavaScript", 0, 39, 0, 0, 0, 0, 0, 0, 8, 6, 53
"Total", "-", 134, 3096, 12, 2, 36, 488, 5204, 199, 477, 819, 10467
